G:\JulphRE\L4-20mp-8mm-3500-52cm\2layer 1 frame moving cassete T3-hatem.png	2/18/2020	2:57:32 PM
Object #	X Position	Y Position	Angle	Score	
1	4002.00000	2624.50000	0.000000	1000.00000	
2	3991.63892	1891.20313	0.000000	884.85864	
3	3992.75024	2258.91504	0.000000	867.92883	
4	3251.20435	1895.31177	0.000000	862.25531	
5	3618.20605	1890.52478	0.000000	857.39154	
6	3629.35132	2628.76465	0.000000	852.03406	
7	3258.11157	2636.78369	0.000000	850.25305	
8	2874.95630	1896.80701	0.000000	843.42767	
9	3622.28955	2261.90259	0.000000	843.12561	
10	3247.83643	2268.52783	0.000000	836.43835	
11	2116.03271	1899.86267	0.000000	832.40558	
12	2495.11792	2646.76465	0.000000	829.96704	
13	2872.05908	2270.25122	0.000000	822.36499	
14	1349.16418	1902.29163	0.000000	820.78333	
15	2497.47998	1898.18860	0.000000	816.26874	
16	2110.33130	2275.31567	0.000000	812.67474	
17	1349.05750	2653.48779	0.000000	811.19623	
18	1731.14758	2652.22729	0.000000	808.78497	
19	1734.08777	1898.42102	0.000000	804.95428	
20	2490.89502	2274.15552	0.000000	804.39844	
21	1342.55261	2278.93677	0.000000	800.71405	
22	2877.95801	2642.69116	0.000000	797.34052	
23	2112.30591	2651.09351	0.000000	792.17810	
24	1724.53198	2277.20825	0.000000	782.88989	

